"id","company","model","content","created_at","updated_at"
"1",NULL,"اجراس صوت","اجراس صوت","2024-10-29 19:06:49","2024-10-29 19:32:19"
"2",NULL,"فلاتات بطاريات","فلاتات بطاريات","2024-10-29 19:11:24","2024-10-29 19:32:09"
"3",NULL,"اجراس صوت","اجراس صوت","2024-10-29 19:19:02","2024-10-29 19:31:59"
"4",,"جلد سينسور","جلد سينسور","2024-10-29 19:32:46","2024-10-29 19:32:46"
"5",,"بصمات اندرويد","بصمات اندرويد","2024-10-29 19:33:28","2024-10-29 19:33:28"
"6",,"كامرات","كامرات اندرويد","2024-10-29 19:37:14","2024-10-29 19:37:14"
"7",,"كامرات","كامرات ايفون","2024-10-29 19:37:57","2024-10-29 19:37:57"
"8",,NULL,"فلاتات ربط","2024-10-29 19:38:43","2024-10-29 19:38:43"
"9",,NULL,"فلاتات باور ايفون","2024-10-29 19:42:22","2024-10-29 19:42:22"
"10",,NULL,"كونفرتات","2024-10-29 19:43:01","2024-10-29 19:43:01"
"11",,NULL,"فلاتات هوم بصمه ايفون","2024-10-29 19:43:51","2024-10-29 19:43:51"
"12",,NULL,"فلاتات كاميره اماميه ايفون","2024-10-29 19:44:32","2024-10-29 19:44:32"
"13",,NULL,"بيت خط اندرويد","2024-10-29 19:45:06","2024-10-29 19:45:06"
"14",,NULL,"فيبريشن","2024-10-29 19:46:24","2024-10-29 19:46:24"
"15",,"ip11","جرس + شليد + انتنات شبكه","2024-10-29 19:47:59","2024-10-29 19:47:59"
"16",,"جهاز j110","جهاز j400","2024-10-29 19:50:00","2024-10-29 19:50:00"
"17",,NULL,"فلاتات شاشه","2024-10-29 19:50:51","2024-10-29 19:50:51"
"18",NULL,NULL,"بيت خط ايفون","2024-10-29 19:51:21","2024-10-29 20:03:04"
"19",NULL,NULL,"فلاتات هوم اندرويد","2024-10-29 19:52:06","2024-10-29 20:03:39"
"20",,NULL,"فلا تات شاشه","2024-10-29 20:04:31","2024-10-29 20:04:31"
"21",,NULL,"زرار بور","2024-10-29 20:05:04","2024-10-29 20:05:04"
"22",,NULL,"فلاتات شحن","2024-10-29 20:05:21","2024-10-29 20:05:21"
"23",,NULL,"انتنات شبكه ايفون","2024-10-29 20:06:06","2024-10-29 20:06:06"
"24",,NULL,"علبه جرس ايفون","2024-10-29 20:06:38","2024-10-29 20:06:38"
"25",,NULL,"فلاتات سماعه","2024-10-29 20:07:00","2024-10-29 20:07:00"
"26",,NULL,"فلاتات ربط ايفون","2024-10-29 20:07:43","2024-10-29 20:07:43"
"27",,NULL,"فلاته بيت خط","2024-10-29 20:08:06","2024-10-29 20:08:06"
"28",,NULL,"بورده تخريط","2024-10-29 20:08:30","2024-10-29 20:08:30"
"29",,"11pro max","جهاز","2024-10-29 20:10:11","2024-10-29 20:10:11"
"30",,"ip11","هوسينج كامل","2024-10-29 20:10:57","2024-10-29 20:10:57"
"31",,"11pro max","هوسينج كامل","2024-10-29 20:11:26","2024-10-29 20:11:26"
"32",,"اشرف الصياد","فلاتات كاميره","2024-10-29 20:12:13","2024-10-29 20:12:13"
"33",,NULL,"انتنه nfc","2024-10-29 20:12:39","2024-10-29 20:12:39"
"34","رلمي",NULL,"6i","2024-10-29 20:13:17","2024-10-29 20:13:17"
"35",,NULL,"كبسات","2024-10-29 20:14:08","2024-10-29 20:14:08"
"36",,"RENO2F","تقطيع","2024-10-29 20:14:58","2024-10-29 20:14:58"
"37",,"12pro max","جرس + بورده +شاشه","2024-10-29 20:16:10","2024-10-29 20:16:10"
"38",,"A21S","تقطيع","2024-10-29 20:16:43","2024-10-29 20:16:43"
"39",,"Y9 PRIME","y9 2019","2024-10-29 20:17:29","2024-10-29 20:17:29"
"40",,"A20S","تقطيع","2024-10-29 20:18:01","2024-10-29 20:18:01"
"41",,"ايفون","بورده","2024-10-29 20:18:47","2024-10-29 20:18:47"
"42","ريدمي",NULL,"نوت 12","2024-10-29 20:19:34","2024-10-29 20:19:34"
"43",,"y7 17","بورده","2024-10-29 20:20:29","2024-10-29 20:20:29"
"44",,"هواوي","ميت 10تي","2024-10-29 20:22:40","2024-10-29 20:22:40"
"45",,"a22 شاشه انسل","هونر شاشه x8a مكسوره","2024-10-29 20:28:11","2024-10-29 20:28:11"
"46",,"ip11","فلاتات + جرس + بيت خط","2024-10-29 20:29:40","2024-10-29 20:29:40"
"47",,"ايفون","فلتات شحن","2024-10-29 20:30:01","2024-10-29 20:30:01"
"48",,"ايفون x","بورده","2024-10-29 20:30:28","2024-10-29 20:30:28"
"49",,"a52","شاشه","2024-10-29 20:31:09","2024-10-29 20:31:09"
