"id","company","model","content","created_at","updated_at"
"1","iphone","8+","هوسينج","2024-10-26 16:43:46","2024-10-26 16:43:46"
"2","iphone","6g","بيت خط +فلاته شحن + هوسينج + جرس","2024-10-26 16:51:16","2024-10-26 16:51:16"
"3","iphone","7g","هوسينج + كاميره + بيت خط","2024-10-26 17:03:30","2024-10-26 17:03:30"
"4","iphone","6+","هوسيمج + بيت خط + سماعه","2024-10-26 17:04:55","2024-10-26 17:04:55"
"5","iphone","11","هوسينج فاضي","2024-10-26 17:05:27","2024-10-26 17:05:27"
"6","iphone","6+","هوسينج + 2جرس + 3فيبريشن","2024-10-26 17:06:46","2024-10-27 01:55:31"
"7","iphone","5s","هوسينج + فلاته شحن + كاميره +جرس","2024-10-26 17:08:37","2024-10-26 17:08:37"
"8","iphone","5s","هوسينج + كاميره + فلاته شحن + جرس","2024-10-26 17:09:52","2024-10-26 17:09:52"
"9","iphone","5s","هوسينج + بطريه + فلاته شحن + جرس","2024-10-26 17:10:24","2024-10-26 17:10:24"
"10","iphone","5s","هوسينج + كاميره + فلاته شحن + جرس + بورده + بيت خط","2024-10-26 17:11:24","2024-10-26 17:11:24"
"11","iphone","5s","هوسينج + فلاته شحن + جرس","2024-10-26 17:12:19","2024-10-26 17:12:19"
"12","iphone","5s","هوسينج + كاميره + فلاته شحن + جرس + بورده + بيت خط","2024-10-26 17:35:18","2024-10-26 17:35:18"
"13","iphone","5s","هوسينج فاضي","2024-10-26 17:35:56","2024-10-26 17:35:56"
"14","iphone","5","هوسينج + كاميره + فلاته شحن + جرس + بورده","2024-10-26 17:37:13","2024-10-26 17:37:13"
"15","iphone","6g","3هوسينج فاضي","2024-10-26 17:50:14","2024-10-26 17:50:14"
"16","iphone","6g","3هوسينج فاضي","2024-10-26 17:51:00","2024-10-26 17:51:00"
"17","iphone","6g","هوسينج فاضي","2024-10-26 17:51:30","2024-10-26 17:51:30"
"18","iphone","6g","2هوسينج + 2فلاته شحن + جرس","2024-10-26 17:52:22","2024-10-26 17:52:22"
"19","iphone","6g","هوسينج + كاميره + فلاته سنسور + جرس + فلاته بصمه","2024-10-26 17:54:00","2024-10-26 17:54:00"
"20","iphone","6g","هوسينج + بيت خط + كاميره + جرس","2024-10-26 18:02:57","2024-10-26 18:02:57"
"21","iphone","6g","هوسينج فاضي","2024-10-26 18:03:24","2024-10-26 18:03:24"
"22","iphone","6g","هوسينج + بورده + كاميره + فلاته شحن + جرس","2024-10-26 18:04:41","2024-10-26 18:04:41"
"23","iphone","6g","3جرس + هوسينج + فيبرشان","2024-10-26 18:06:31","2024-10-26 18:06:31"
"24","iphone","6g","هوسينج فاضي","2024-10-26 18:06:54","2024-10-26 18:06:54"
"25","iphone","6g","فيبراشن+ فلاته شحن + جرس + هوسينج","2024-10-26 18:08:02","2024-10-26 18:08:02"
"26","iphone","6g","شاشه + هوسينج +فلاته شحن + جرس","2024-10-26 18:11:07","2024-10-26 18:11:07"
"27","iphone","6g","هوسينج + فلاته شحن + جرس","2024-10-26 19:20:18","2024-10-26 19:20:18"
"28","iphone","6g","شاشه + هوسينج +فلاته شحن +بيت خط + فيبريشن","2024-10-26 19:21:43","2024-10-26 19:21:43"
"29","iphone","6S","هوسينج فاضي","2024-10-26 19:22:18","2024-10-26 19:22:18"
"30","iphone","6S","هوسينج فاضي","2024-10-26 19:22:54","2024-10-26 19:22:54"
"31","iphone","6S","شاشه + هوسينج + جرس","2024-10-26 19:24:26","2024-10-26 19:24:26"
"32","iphone","6S","هوسينج + فلاته شحن","2024-10-26 19:24:57","2024-10-26 19:24:57"
"33","iphone","6S","هوسينج + بورده + بطاريه","2024-10-26 19:29:03","2024-10-26 19:29:03"
"34","iphone","4G","ضهر","2024-10-26 19:29:37","2024-10-26 19:29:37"
"35","iphone","6S+","هوسينج + بطريه","2024-10-26 19:30:32","2024-10-26 19:30:32"
"36","iphone","6S +","هوسينج  + بيت خط + جرس","2024-10-26 19:31:25","2024-10-26 19:31:25"
"37","iphone","7g","هوسينج +فبريشان + جرس","2024-10-26 19:32:55","2024-10-26 19:32:55"
"38","iphone","7g","هوسينج فاضي","2024-10-26 19:33:18","2024-10-26 19:33:18"
"39","iphone","7g","هوسينج + فلاته بور + بطاريه + جرس","2024-10-26 19:46:10","2024-10-26 19:46:10"
"40","iphone","7+","فلاته شحن3 + هوسينج2 + فيبرشان","2024-10-26 19:48:43","2024-10-26 19:48:43"
"41","iphone","8+","هوسينج + فلاته شحن","2024-10-26 19:49:26","2024-10-26 19:49:26"
"42","iphone","8+","هوسينج + فلاته شحن + فلاته بور","2024-10-26 19:51:07","2024-10-26 19:51:07"
"43","iphone","8+","هوسينج + سماعه","2024-10-26 20:03:23","2024-10-26 20:03:23"
"44","iphone","8+","هوسينج + فيبرشان + بيت خط + شاشه","2024-10-26 20:04:32","2024-10-26 20:04:32"
"45","SAMSUNG","A11","باك","2024-10-26 20:46:01","2024-10-26 20:46:01"
"46","SAMSUNG","A30S","بورده + شاشه بالفرام","2024-10-26 20:47:31","2024-10-26 20:47:31"
"47","SAMSUNG","A30","بصمه + شاشه بفريم + بيت خط + فلاته ربط2","2024-10-26 20:50:26","2024-10-26 20:50:26"
"48","SAMSUNG","A30","باك","2024-10-26 20:50:59","2024-10-26 20:50:59"
"49","SAMSUNG","NOTE8","شاشه2 + فرام","2024-10-26 20:52:10","2024-10-26 20:52:10"
"50","SAMSUNG","M51","فريم + سماعه + فلاته بور","2024-10-26 20:53:28","2024-10-26 22:28:57"
"51","SAMSUNG","S20 ULTER","فريم شاشه","2024-10-26 22:30:49","2024-10-26 22:30:49"
"52","SAMSUNG","A20","باك + كاميرات","2024-10-26 22:31:30","2024-10-27 01:57:32"
"53","SAMSUNG","NOTE5","فريم + كاميره","2024-10-26 22:32:25","2024-10-26 22:32:25"
