id,type,name,device_type,price,stock,created_at,updated_at
4,screens,غزاله اسكرينه,"op A3s 6.2"" 720x1520",60,5,2024-10-04 13:09:43,2025-01-04 16:53:18
5,screens,HD+ اسكرينه,"op A3s 6.2"" 720x1520",40,2,2024-10-04 13:14:16,2025-01-04 16:53:08
6,screens,اسكرينه غزاله,"op A5 2020 6.5"" 720x1600",60,12,2024-10-04 14:39:50,2025-01-04 16:52:40
7,screens,اسكرينه غزاله,"op F11 6.53"" 1080x2340",60,4,2024-10-04 14:40:17,2025-01-04 16:52:20
8,screens,اسكرينه HD+,"op F11 6.53"" 1080x2340",40,2,2024-10-04 14:40:56,2025-03-10 00:30:49
9,screens,اسكرينه غزاله,"op F11 pro 6.53"" 1080x2340",60,0,2024-10-04 14:41:27,2025-01-04 16:51:44
10,screens,اسكرينه غزاله,"op F11 pro 6.53"" 1080x2340",60,6,2024-10-04 14:42:38,2025-01-04 16:51:22
11,screens,اسكرينه غزاله,"op A16k / A15 /A16 6.52"" 720x1600",60,10,2024-10-04 14:44:11,2025-01-04 16:50:54
12,screens,اسكرينه غزاله,"op A31 6.5"" 720x1600",60,8,2024-10-04 14:44:45,2025-01-04 16:50:17
13,screens,اسكرينه HD+,"op A53 / A54 /S52 6.51"" 720x1600",40,0,2024-10-04 14:45:58,2025-03-09 13:50:46
14,screens,اسكرينه غزاله,"op a55 6.51"" 720x1600",60,7,2024-10-04 14:46:29,2025-01-04 16:49:06
15,screens,اسكرينه HD+,"op a55 6.51"" 720x1600",40,2,2024-10-04 14:47:13,2025-01-04 16:48:43
16,screens,اسكرينه HD+,"op A73 6.44"" 1080x2400",40,8,2024-10-04 14:48:04,2025-01-04 16:48:08
17,screens,اسكرينه HD+,"op A37 5.0"" 720x1280",40,6,2024-10-04 14:48:48,2025-01-04 16:47:53
18,screens,اسكرينه غزاله,"op A57 6.56"" 720x1612",60,3,2024-10-04 14:49:06,2025-01-04 16:47:27
19,screens,اسكرينه غوريلا,"op A58 6.72"" 1080x2400",40,1,2024-10-04 14:49:35,2025-01-04 16:46:53
21,screens,اسكرينه HD+,"op A71 5.2"" 720x1280",40,4,2024-10-04 15:06:09,2025-01-04 16:45:58
22,screens,اسكرينه غزاله,"op A74 6.43"" 1080x2400",60,0,2024-10-04 15:06:56,2025-01-04 16:45:19
23,screens,اسكرينه غزاله,"op A76 6.56"" 720x1612",60,2,2024-10-04 15:08:08,2025-01-04 16:44:50
24,screens,اسكرينه غزاله,"op A77 6.56"" 720x1612",60,3,2024-10-04 15:08:47,2025-01-04 16:44:17
25,screens,اسكرينه HD+,"op A93 6.43"" 1080x2400",40,3,2024-10-04 15:09:25,2025-01-04 16:43:49
26,screens,اسكرينه HD+,"op A95 6.43"" 1080x2400",40,1,2024-10-04 15:10:31,2025-01-04 16:43:14
29,screens,اسكرينه غوريلا,"op A98 / A96 6.59"" 1080x2412",50,9,2024-10-04 18:08:58,2025-01-04 16:42:39
30,screens,اسكرينه غزاله,"op Reno3 6.4"" 1080x2400",60,9,2024-10-04 18:10:03,2025-01-04 16:39:21
31,screens,اسكرينه HD+,"op Reno8t 6.43"" 1080x2400",40,6,2024-10-04 18:11:22,2025-01-04 16:24:44
32,screens,اسكرينه غزاله,"rd Mi 12 6.28"" 1080x2400",60,3,2024-10-04 18:13:09,2025-01-04 16:24:06
33,screens,اسكرينه HD+,"rd  12c 6.71"" 720x1650",40,1,2024-10-04 18:14:14,2025-01-04 16:23:17
34,screens,اسكرينه غزاله,"rd 10c 6.71"" 720x1650",60,1,2024-10-04 18:15:26,2025-01-04 16:22:44
35,screens,اسكرينه غزاله,"rd Mi10a 6.53"" 720x1600",60,2,2024-10-04 18:16:17,2025-01-04 16:22:13
36,screens,اسكرينه HD+,"rd Mi10a 6.53"" 720x1600",40,0,2024-10-04 18:17:21,2025-01-04 16:21:49
37,screens,اسكرينه HD+,"rd Mi10 6.67"" 1080x2340",40,1,2024-10-04 18:17:54,2025-01-04 16:21:06
38,screens,اسكرينه HD+,"rd Mi5 5.7"" 720x1440",40,2,2024-10-04 18:18:30,2025-01-04 16:20:16
39,screens,اسكرينه HD+,"rd Mi5pro 5.99"" 1080x2160",40,3,2024-10-04 18:19:13,2025-01-04 16:19:20
40,screens,اسكرينه HD+,"rd Mi 7a 5.45"" 720x1440",40,2,2024-10-04 18:19:57,2025-01-04 16:18:16
41,screens,اسكرينه غزاله,"rd Note9 6.53"" 1080x2340",60,2,2024-10-04 18:20:32,2025-01-04 16:17:43
42,screens,اسكرينه غزاله,"rd Note8pro 6.67"" 1080x2400",60,1,2024-10-04 18:21:06,2025-01-04 16:17:27
43,screens,اسكرينه غوريلا,"rd Note8pro 6.67"" 1080x2400",50,3,2024-10-04 18:21:37,2025-01-04 16:17:10
44,screens,اسكرينه HD+,"rd Note9 6.53"" 1080x2340",40,3,2024-10-04 18:22:10,2025-01-04 16:16:47
45,screens,اسكرينه غزاله,"poco X3 6.67"" 1080x2400",60,4,2024-10-04 18:23:02,2025-01-04 16:16:08
46,screens,اسكرينه HD+,"poco X3 6.67"" 1080x2400",40,6,2024-10-04 18:24:09,2025-01-04 16:15:47
47,screens,اسكرينه HD+,rd Mi 1 +,40,2,2024-10-04 18:25:07,2024-10-04 18:25:07
48,screens,اسكرينه غزاله,rd Mi 1+,60,1,2024-10-04 18:25:44,2025-01-04 16:15:04
49,screens,اسكرينه HD+,"rd Mi9 6.53"" 1080x2340",40,3,2024-10-04 18:26:39,2025-01-04 16:14:23
50,screens,اسكرينه HD+,"rd A3 6.71"" 720x1650",40,0,2024-10-04 18:27:11,2025-01-04 16:11:22
51,screens,اسكرينه HD+,"rd Mi11t 6.67"" 1080x2400",40,2,2024-10-04 18:27:55,2025-01-04 16:10:49
52,screens,اسكرينه غوريلا,"rl C65 6.67"" 720x1604",50,3,2024-10-04 18:28:56,2025-01-04 16:09:43
53,screens,اسكرينه غزاله,"rl C55 6.72"" 1080x2400",60,6,2024-10-04 18:29:34,2025-01-04 16:08:28
54,screens,اسكرينه غوريلا,"rl C55 6.72"" 1080x2400",50,1,2024-10-04 18:30:13,2025-01-04 16:08:13
55,screens,اسكرينه غزاله,"rl 10 6.4"" 1080x2400",60,1,2024-10-04 18:30:46,2025-01-04 16:07:35
56,screens,اسكرينه غزاله,"rl C53 6.74"" 1080x2400",60,5,2024-10-04 18:31:14,2025-01-04 16:07:14
57,screens,اسكرينه غزاله,"rl C51 6.74"" 720x1600",60,5,2024-10-04 18:31:43,2025-01-04 16:06:46
58,screens,اسكرينه غزاله,"rl C30 6.5"" 720x1600",60,4,2024-10-04 18:32:52,2025-01-04 16:06:13
59,screens,اسكرينه غزاله,"rl C21 / C25 6.5"" 720x1600",60,5,2024-10-04 18:33:32,2025-01-04 16:05:41
60,screens,اسكرينه HD+,"rl C21 / C25 6.5"" 720x1600",40,3,2024-10-04 18:35:09,2025-01-04 16:05:21
61,screens,اسكرينه HD+,"rl C12 6.5"" 720x1560",40,4,2024-10-04 18:35:52,2025-01-04 16:04:49
62,screens,اسكرينه غزاله,"rl C11 / C15 6.5"" 720x1600",60,8,2024-10-04 18:36:31,2025-01-04 16:04:15
63,screens,اسكرينه غوريلا,"rl C11 / C15 6.5"" 720x1600",50,1,2024-10-04 18:37:45,2025-01-04 16:03:52
64,screens,اسكرينه HD+,"rl C11 /C15 6.5"" 720x1600",40,6,2024-10-04 18:38:27,2025-01-04 16:03:15
65,screens,اسكرينه HD+,"Mate10lite 5.9"" 1080x2160",40,4,2024-10-04 18:39:30,2025-01-04 16:02:39
66,screens,اسكرينه HD+,"P30lite 6.15"" 1080x2312",40,3,2024-10-04 18:40:17,2025-01-04 16:01:32
67,screens,اسكرينه غوريلا,"rl P20lite 5.84"" 1080x2280",50,1,2024-10-04 18:40:59,2025-01-04 16:00:54
68,screens,اسكرينه غزاله,"rl 9i 6.6"" 1080x2412",60,5,2024-10-04 18:41:28,2025-01-04 16:00:02
69,screens,اسكرينه غزاله,"rl 8pro 6.4"" 1080x2400",60,2,2024-10-04 18:42:06,2025-01-04 15:59:50
70,screens,اسكرينه HD+,"rl 8pro 6.4"" 1080x2400",40,1,2024-10-04 18:42:38,2025-01-04 15:59:24
71,screens,اسكرينه HD+,"rl 9i 6.6"" 1080x2412",40,3,2024-10-04 18:43:22,2025-01-04 15:58:17
72,screens,اسكرينه HD+,"rl 7pro 6.4"" 1080x2400",40,1,2024-10-04 18:44:13,2025-01-04 15:56:31
73,screens,اسكرينه HD+,"Huawei Novi 3i 6.3"" 1080x2340",40,5,2024-10-04 18:45:11,2025-01-04 15:55:23
74,screens,اسكرينه غزاله,"Huawei Novi9 6.57"" 1080x2340",60,1,2024-10-04 18:47:33,2025-01-04 15:54:22
75,screens,اسكرينه HD+,sam S7pro,40,2,2024-10-04 18:55:06,2024-10-04 18:55:06
76,screens,اسكرينه HD+,sam J4,40,1,2024-10-04 18:55:57,2024-10-04 18:55:57
77,screens,اسكرينه غزاله,sam G530,60,3,2024-10-04 18:57:09,2024-10-04 18:57:09
78,screens,اسكرينه HD+,sam G530,40,2,2024-10-04 18:57:57,2024-10-04 18:57:57
79,screens,اسكرينه HD+,sam 9082,40,4,2024-10-04 18:59:04,2024-10-04 18:59:04
80,screens,اسكرينه HD+,sam J2 core,40,7,2024-10-04 18:59:56,2024-10-04 18:59:56
81,screens,اسكرينه غزاله,"sam A70 6.7"" 1080x2400",60,3,2024-10-04 19:00:41,2025-01-04 15:53:16
82,screens,اسكرينه غزاله,"sam A71 6.7"" 1080x2400",60,5,2024-10-04 19:01:16,2025-01-04 15:53:01
83,screens,اسكرينه HD+,"sam A71 6.7"" 1080x2400",40,2,2024-10-04 19:01:41,2025-01-04 15:48:56
84,screens,اسكرينه غزاله,"sam M33 6.6"" 1080x2408",60,2,2024-10-04 19:02:18,2025-01-04 15:48:22
85,screens,اسكرينه HD+,"sam M61 / M62 6.7"" 1080x2400",40,3,2024-10-04 19:03:44,2025-01-04 15:47:46
86,screens,اسكرينه غزاله,"sam A71 6.7"" 1080x2400",60,1,2024-10-04 19:04:15,2025-01-04 15:46:27
87,screens,اسكرينه HD+,"sam A54 6.4"" 1080x2340",40,5,2024-10-04 19:05:03,2025-01-04 15:45:44
88,screens,اسكرينه HD+,"sam A20 / A30 / A50 6.4"" 1080x2340",40,5,2024-10-04 19:06:28,2025-01-04 15:45:12
89,screens,اسكرينه غزاله,"sam A23 6.6"" 1080x2408",60,5,2024-10-04 19:07:01,2025-01-04 15:44:36
90,screens,اسكرينه غزاله,"sam A24 6.5"" 1080x2340",60,3,2024-10-04 19:07:32,2025-01-04 15:44:22
91,screens,اسكرينه غزاله,"sam A34 6.6"" 1080x2340",60,5,2024-10-04 19:08:01,2025-01-04 15:44:07
92,screens,اسكرينه غزاله,"sam A21s  6.5"" 720x1600",60,5,2024-10-04 19:12:42,2025-01-04 15:43:51
93,screens,اسكرينه غزاله,"sam A05s 6.7"" 1080x2400",60,14,2024-10-04 19:14:06,2025-01-04 15:43:14
94,screens,اسكرينه غزاله,"sam A15 6.5"" 1080x2340",60,6,2024-10-04 19:15:01,2025-01-04 15:42:40
95,screens,اسكرينه غزاله,"sam A14 6.5"" 720x1600",60,5,2024-10-04 19:15:30,2025-01-04 15:42:08
96,screens,اسكرينه غزاله,"sam A13 6.6"" 1080x2408",60,0,2024-10-04 19:16:05,2025-01-04 15:41:53
97,screens,اسكرينه HD+,"sam A13 6.6"" 1080x2408",40,2,2024-10-04 19:16:50,2025-03-12 00:32:51
98,screens,اسكرينه غزاله,"sam A12 6.5"" 720x1600",60,6,2024-10-04 19:17:35,2025-01-04 15:40:31
99,screens,اسكرينه غزاله,"sam A10s / A10 6.2"" 720x1520",60,0,2024-10-04 19:18:03,2025-01-04 15:40:16
100,screens,اسكرينه غزاله,"sam A11 6.4"" 720x1560",60,3,2024-10-04 19:18:35,2025-01-04 15:39:45
101,screens,اسكرينه غزاله,"sam A10s / A10 6.2"" 720x1520",60,11,2024-10-04 19:19:40,2025-01-04 15:38:43
102,screens,اسكرينه غزاله,"sam A04s 6.4"" 720x1560",60,8,2024-10-04 19:20:18,2025-01-04 15:37:59
